,rider_provider,CashAndCashEquivalents,MarketableSecurities,TotalCurrentAssets,TotalAssets,PropertyAndEquipmentNet,Goodwill,TotalCurrentLiabilities,SharesOutstanding,TotalStockholdersEquity,TotalEquity,GrossProfit,TotalOperatingExpenses,NetIncome,GrossPropertyAndEquipment,StockPrice,SalesAndMarketing,TotalDebt,Revenues,CostOfSales,OperatingIncome,NetLoss,RecurringRevenue,ARR,GAAPRevenue,NonGAAPEarnings,MRR,FilingDate,DocURL
1,1418100_2021,498000000.0,,1591000000.0,5985000000.0,295000000.0,1480000000.0,1097000000.0,84115602.0,1467000000.0,5985000000.0,1650000000.0,1470000000.0,-13000000.0,659000000.0,19.79,,,2973000000.0,752000000.0,180000000.0,,,-13000000.0,,,,2021-11-22,https://www.sec.gov/Archives/edgar/data/1418100/000141810021000095/avya-20210930.htm
1,1418100_2020,727000000.0,,1579000000.0,6231000000.0,268000000.0,1478000000.0,1137000000.0,83278383.0,1449000000.0,6231000000.0,1580000000.0,2035000000.0,37000000.0,580000000.0,16.0,,,2873000000.0,714000000.0,74000000.0,,,37000000.0,,,,2020-11-25,https://www.sec.gov/Archives/edgar/data/1418100/000141810020000143/avya-20200930.htm
1,1576169_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-10,https://www.sec.gov/Archives/edgar/data/1576169/000156459021011839/bnft-10k_20201231.htm
1,1031308_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-02,https://www.sec.gov/Archives/edgar/data/1031308/000162828021003727/bsy-20201231.htm
1,1786352_2021,509615000.0,2.5,3606037000.0,5969173000.0,48902000.0,1772043000.0,2325659000.0,94504000.0,2777155000.0,5969173000.0,176459000.0,290426000.0,-11.4,67834000.0,,71374000.0,,238265000.0,61806000.0,-113967000.0,,,-11.4,,,,2021-08-30,https://www.sec.gov/Archives/edgar/data/1786352/000156459021046383/bill-10k_20210630.htm
1,1786352_2020,573643000.0,0.5,2379449000.0,2404015000.0,13866000.0,,1676847000.0,79635000.0,857044000.0,2404015000.0,118456000.0,152654000.0,-8319000.0,27661000.0,,45356000.0,,157600000.0,39144000.0,-9715000.0,,,-8319000.0,,,,2020-08-31,https://www.sec.gov/Archives/edgar/data/1786352/000156459020041865/bill-10k_20200630.htm
1,1280058_2021,,,,,,,,,,,,,,61284000.0,,,,,,,,,,,,,2021-02-23,https://www.sec.gov/Archives/edgar/data/1280058/000128005821000006/blkb-20201231.htm
1,1280058_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-20,https://www.sec.gov/Archives/edgar/data/1280058/000128005820000011/a201910-k.htm
1,1666134_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-25,https://www.sec.gov/Archives/edgar/data/1666134/000166613421000004/bl-20201231.htm
1,1666134_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-27,https://www.sec.gov/Archives/edgar/data/1666134/000156459020007371/bl-10k_20191231.htm
1,1073349_2021,133932000.0,,261615000.0,815728000.0,68471000.0,246698000.0,155868000.0,43237000.0,819392000.0,815728000.0,274951000.0,282499000.0,-16288000.0,121555000.0,,119883000.0,,471403000.0,153308000.0,67488000.0,,,-16288000.0,,,,2021-08-30,https://www.sec.gov/Archives/edgar/data/1073349/000107334921000114/epay-20210630.htm
1,1073349_2020,194832000.0,,309643000.0,793137000.0,67155000.0,205713000.0,149998000.0,42172000.0,764906000.0,793137000.0,253135000.0,256567000.0,-3003000.0,116635000.0,,106429000.0,,442221000.0,136417000.0,67728000.0,,,-3003000.0,,,,2020-08-28,https://www.sec.gov/Archives/edgar/data/1073349/000107334920000095/epay-20200630.htm
1,1378590_2021,8852000.0,,10418000.0,34967000.0,252000.0,15985000.0,8335000.0,10187128.0,100207000.0,34967000.0,8726000.0,9909000.0,-6689000.0,463000.0,,2726000.0,,13259000.0,4533000.0,-1183000.0,,,-6689000.0,,,,2021-12-20,https://www.sec.gov/Archives/edgar/data/1378590/000143774921028984/blin20210827_10k.htm
1,813672_2021,928432000.0,,1478587000.0,3950785000.0,311125000.0,782087000.0,796808000.0,278941000.0,2493018000.0,3950785000.0,,,590644000.0,1005075000.0,,516460000.0,,2682891000.0,231026000.0,645552000.0,,,590644000.0,,,,2021-02-22,https://www.sec.gov/Archives/edgar/data/813672/000081367221000009/cdns-20210102.htm
1,813672_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-24,https://www.sec.gov/Archives/edgar/data/813672/000081367220000007/cdns1228201910-k.htm
1,1609702_2021,157.0,,562.3,2712.6,71.8,1297.1,368.3,121.5,480.8,2712.6,211.8,,1034.3,308.2,,,1586.5,1673.2,,425.3,,,1034.3,,,,2021-08-18,https://www.sec.gov/Archives/edgar/data/1609702/000160970221000058/cdk-20210630.htm
1,1609702_2020,215.7,,685.6,2854.1,109.1,1348.5,526.8,121.1,-596.1,2854.1,273.8,,207.5,384.3,,,2655.1,1960.1,,549.5,,,207.5,,,,2020-08-06,https://www.sec.gov/Archives/edgar/data/1609702/000160970220000015/cdk-20200630.htm
1,1768267_2021,,,287048000.0,1705728000.0,,1128511000.0,165309000.0,38025000.0,1031945000.0,1705728000.0,286108000.0,225514000.0,45893000.0,42380000.0,,38683000.0,,387182000.0,101074000.0,60594000.0,,,45893000.0,,,,2021-11-23,https://www.sec.gov/Archives/edgar/data/1768267/000156459021057931/crnc-10k_20210930.htm
1,1725057_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-26,https://www.sec.gov/Archives/edgar/data/1725057/000156459021009508/cday-10k_20201231.htm
1,1169652_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-11,https://www.sec.gov/Archives/edgar/data/1169652/000116965221000007/ecom-20201231.htm
1,1022505_2021,5783994.0,,6243826.0,6753826.0,,,1487732.0,,5266094.0,6753826.0,,,,,,96125.0,,15417.0,,,,,,,,,2021-12-21,https://www.sec.gov/Archives/edgar/data/1022505/000149315221032215/form10-k.htm
1,877890_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-08,https://www.sec.gov/Archives/edgar/data/877890/000087789021000051/ctxs-20201231.htm
1,877890_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-14,https://www.sec.gov/Archives/edgar/data/877890/000087789020000051/ctxs-20191231.htm
1,827876_2021,,,,,137592871.0,6820535.0,,,,,,,-21812010.0,145250853.0,,,,,,,,,-21812010.0,,,,2021-12-14,https://www.sec.gov/Archives/edgar/data/827876/000166357721000668/clsk10k.htm
1,827876_2020,,,,,117994.0,957388.0,,,,,,,-23346143.0,293554.0,,,,,,,,,-23346143.0,,,,2020-12-17,https://www.sec.gov/Archives/edgar/data/827876/000166357720000499/clsk10k.htm
1,1535379_2021,298672000.0,211464000.0,997921000.0,2508601000.0,18065000.0,599291000.0,663109000.0,291220735.0,2776690000.0,2508601000.0,680070000.0,836335000.0,-162734000.0,63045000.0,,420501000.0,,869258000.0,189188000.0,-156265000.0,,,-162734000.0,,,,2021-03-25,https://www.sec.gov/Archives/edgar/data/1535379/000162828021005632/cldr-20210131.htm
1,1535379_2020,107638000.0,200117000.0,707901000.0,2299790000.0,21988000.0,590361000.0,579948000.0,295167761.0,2923905000.0,2299790000.0,561689000.0,901443000.0,-64287000.0,59397000.0,,467541000.0,,794191000.0,232502000.0,-64437000.0,,,-64287000.0,,,,2020-03-27,https://www.sec.gov/Archives/edgar/data/1535379/000162828020004231/cldr-20200131.htm
1,1477333_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-25,https://www.sec.gov/Archives/edgar/data/1477333/000147733321000009/cloud-20201231.htm
1,1477333_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-04,https://www.sec.gov/Archives/edgar/data/1477333/000147733320000010/cloud-20191231.htm
1,1169561_2021,397237000.0,,607600000.0,904173000.0,112779000.0,112435000.0,373202000.0,46482000.0,1069695000.0,904173000.0,614099000.0,636362000.0,-30954000.0,183843000.0,,331948000.0,,723472000.0,109373000.0,-22263000.0,,,-30954000.0,,,,2021-05-13,https://www.sec.gov/Archives/edgar/data/1169561/000116956121000018/cvlt-20210331.htm
1,1169561_2020,288082000.0,,513686000.0,845076000.0,114519000.0,112435000.0,328554000.0,46011000.0,978659000.0,845076000.0,553807000.0,571315000.0,8935000.0,180562000.0,,335785000.0,,670885000.0,117078000.0,-17508000.0,,,8935000.0,,,,2020-05-15,https://www.sec.gov/Archives/edgar/data/1169561/000116956120000018/a2020033110k.htm
1,1401680_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-22,https://www.sec.gov/Archives/edgar/data/1401680/000140168021000011/csod-20201231.htm
1,1401680_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-25,https://www.sec.gov/Archives/edgar/data/1401680/000140168020000004/a10-k20191231q4.htm
1,1385867_2021,323284000.0,283036000.0,854251000.0,3105165000.0,28266000.0,1480847000.0,1061507000.0,72753659.0,1556865000.0,3105165000.0,319942000.0,486495000.0,,62125000.0,,236312000.0,,541643000.0,221701000.0,-95357000.0,,,,,,,2021-03-18,https://www.sec.gov/Archives/edgar/data/1385867/000138586721000011/coup-20210131.htm
1,1385867_2020,268045000.0,499160000.0,929331000.0,1594073000.0,18802000.0,442112000.0,510768000.0,,790468000.0,1594073000.0,250503000.0,323928000.0,,42018000.0,,155216000.0,,389719000.0,139216000.0,-15869000.0,,,,,,,2020-03-20,https://www.sec.gov/Archives/edgar/data/1385867/000156459020011878/coup-10k_20200131.htm
1,1535527_2021,,,2292274000.0,2732533000.0,167014000.0,83566000.0,863553000.0,195039000.0,870574000.0,2732533000.0,644893000.0,737422000.0,-21403000.0,255548000.0,,401316000.0,,,229545000.0,-92529000.0,,,-21403000.0,,,,2021-03-18,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000007/crwd-20210131.htm
1,1535527_2020,,,1171636000.0,1404906000.0,136078000.0,7722000.0,493096000.0,107666000.0,742107000.0,1404906000.0,339786000.0,485851000.0,-21899000.0,185742000.0,,288276000.0,,,141627000.0,-146065000.0,,,-21899000.0,,,,2020-03-23,https://www.sec.gov/Archives/edgar/data/1535527/000153552720000006/crwd-20200131.htm
